id,type,gender,skin tone,count,accessories
2,Turtle,Female,2012 Selene,2,Wild Hair / Miner
8,Turtle,Male,1987 Donatello,5,Messy Hair / Luxurious Beard / Hunting Machine / Military Cap / Bo Staff
17,Turtle,Male,2003 Ethscript,4,Frown / Mohawk / Eye Mask / Tear Waterfall
18,Turtle,Male,Batman Michaelangelo,6,C3FF00 / Eye Mask / Muttonchops / Builder / Stringy Hair / Left Smile
20,Turtle,Male,Mirage Hans,3,Crazy Hair / Dagger / Ushanka
26,Turtle,Female,Rise Of The Tmnt Larota,3,Dark Hair / Eye Mask / Eyes Forward
28,Turtle,Male,1987 Michaelangelo,6,Big Shades / Crazy Hair / Fries in the Bag Hat Red / Fries in the Bag Hat Black / Gold Grills / Nunchaku
29,Turtle,Female,2021 Amoly,1,Sailormoon Sailor Venus
31,Turtle,Female,2003 Solina,4,C3FF00 / Stringy Hair / Yellow Duck / Rosetrix
32,Turtle,Male,1987 Albrecht,1,Banana
34,Turtle,Female,Rise Of The Tmnt Lymera,3,Frumpy Hair / Purple Lipstick / Virtual Reality
38,Turtle,Female,2021 Solina,6,C3FF00 / Frumpy Hair / Classic Shades / Purple Lipstick / Open Mouth Full Teeth / Royal Crown
39,Turtle,Male,2021 Michaelangelo,1,Aladdin
40,Turtle,Male,2003 Raphael,6,Bandana / Chinstrap / Smile / Lunarc / Full Smile / Sai
43,Turtle,Female,2021 Zamira,1,Sailormoon Usagi Tsukino
45,Brain,Male,Krang,1,Krang
46,Turtle,Female,Rise Of The Tmnt Solina,4,Purple Lipstick / Straight Hair Dark / Cyborg / Solflare
47,Human,Male,Shredder,2,Shredder / Kuro Kabuto
50,Turtle,Male,2021 Donatello,4,Spots / Fedora / Bionocles / Gold Grills
51,Turtle,Male,1987 Filippo,5,Muttonchops / Wild Hair / Earring / Shades / Rainbow Grills
55,Turtle,Male,Og Promo Guido,2,Eye Patch / Air Bender
65,Turtle,Female,2003 Amoly,3,Eye Mask / Headband / Virelux
67,Turtle,Female,Mirage Lymera,3,Half Shaved / Purple Lipstick / 3D Glasses
68,Turtle,Male,2021 Michaelangelo,3,Nerd Glasses / Do-rag / Red Raging Sea Dragon
72,Turtle,Male,1987 Filippo,5,Fedora / Earring / Nerd Glasses / Normal Beard / Fire Breathing Purple
77,Hog,Male,Bebop,7,Purple Mohawk / Silver Nose Ring / Silver Earring / Big Beard Purple / Bebop Shades / Bebop / Silver Chain
79,Turtle,Male,Idw Tiziano,1,Rambo
84,Turtle,Male,OG Promo Leonardo,7,Messy Hair / Big Shades / Earring / Samurai / Mummy / Power Surge Radiation / Diamond Grills
88,Turtle,Female,2012 Lymera,2,Cap / Hot Lipstick
93,Turtle,Female,Idw Azuria,2,Bandana / Sci Vr
94,Turtle,Female,Idw Amoly,3,Pink With Hat / Regular Shades / Earring
95,Turtle,Male,2021 Albrecht,3,Earring / Mohawk / Open Mouth Six Teeth
100,Turtle,Female,Mirage Zamira,2,Tassle Hat / Nouns
101,Turtle,Male,2003 Hans,3,Police Cap / Nerd Glasses / Spirit
105,Turtle,Male,Mirage Albrecht,2,Mohawk Thin / Faceless Blade
113,Turtle,Male,2021 Filippo,2,Mohawk / Phantom
116,Turtle,Female,IDW Talena,5,Black Lipstick / Tiara / Earring / Clown Eyes Blue / Power Surge Dreamcoil
118,Turtle,Female,2012 Zamira,4,Black Lipstick / Bandana / Ghost / Full Smile
119,Turtle,Male,1987 Michaelangelo,3,Cap / Earring / Turtlepool
121,Turtle,Female,2021 Jennika,3,Princess Rebel / Tiara / Purple Lipstick
124,Turtle,Male,IDW Michaelangelo,6,Normal Beard Black / Peak Spike / Earring / Eye Mask / Power Surge Solarwake / Open Mouth Full Teeth
125,Turtle,Female,Rise Of The Tmnt Azuria,3,Tassle Hat / Big Shades / Purple Lipstick
128,Turtle,Male,2012 Albrecht,6,Police Cap / Chinstrap / Vape / Mole / Lava / Purple Hair
130,Turtle,Male,2012 Leonardo,3,Mohawk / Mummy / Power Surge Radiation
132,Turtle,Male,IDW Donatello,10,Mohawk Thin / Eye Mask / Power Surge Dreamcoil / Left Smile / Gold Chain / Spots / Mole / Dual Beam / Smile / Earring
133,Turtle,Male,Idw Albrecht,5,Chinstrap / Purple Hair / Pipe / Sci Vr / Laser
